time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.027,0.0262,0.026000000000000002,0.00039999999999999893,0.006,0.006,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,0,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.027,0.0262,0.026000000000000002,0.00039999999999999893,0.008,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,64,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.032,0.033,0.0324,0.032,0.000489897948556636,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,128,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.031,0.032,0.0312,0.031,0.00040000000000000034,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,192,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.033,0.034,0.0332,0.033,0.00040000000000000034,0.027,0.027,0.027000000000000003,0.027,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,256,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.033,0.034,0.0332,0.033,0.00040000000000000034,0.031,0.031,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,320,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.033,0.034,0.0334,0.033,0.000489897948556636,0.033,0.034,0.0332,0.033,0.00040000000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,384,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.033,0.034,0.0332,0.033,0.00040000000000000034,0.035,0.036000000000000004,0.0352,0.035,0.00040000000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,448,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.033,0.034,0.0334,0.033,0.000489897948556636,0.037,0.039,0.0378,0.038,0.0007483314773547889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,512,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.033,0.0,0.04,0.041,0.0408,0.041,0.00040000000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,32,32,16,1,4096,1,64,576,True,AttentionBackend.FLASHINFER
