time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.186,0.2,0.19442857142857145,0.196,0.004446201466757128,0.165,0.17400000000000002,0.17115000000000002,0.17200000000000001,0.0030540956108150935,3.422,3.702,3.5829999999999997,3.5975,0.07799358948016175,0.249,0.255,0.25129999999999997,0.251,0.0015198684153570677,1.161,1.26,1.2258,1.2425000000000002,0.037103369119259266,0.166,0.17400000000000002,0.17135,0.17300000000000001,0.0030540956108150927,6.252,6.587,6.452749999999999,6.477,0.10447194599508516,0.489,0.494,0.49240000000000006,0.493,0.001743559577416271,2.965,3.285,3.1862500000000002,3.223,0.1099185493899915,0.171,0.17400000000000002,0.172,0.17200000000000001,0.0008944271909999167,32,32,4096,11008,32016,True,4096,1
0.194,0.201,0.19709523809523816,0.197,0.0016876233473018445,0.17,0.17400000000000002,0.17245000000000005,0.17200000000000001,0.0010712142642814286,3.495,3.702,3.6243000000000003,3.6265,0.04856140442779636,0.249,0.255,0.25085,0.251,0.0013518505834595788,1.213,1.2610000000000001,1.2439500000000003,1.248,0.01366189957509571,0.17,0.17500000000000002,0.17275000000000001,0.17300000000000001,0.0011346805717910226,6.353,6.6370000000000005,6.508000000000001,6.518000000000001,0.06337901861026257,0.492,0.495,0.4931500000000001,0.493,0.0008529361054615998,3.161,3.285,3.23205,3.2235,0.03735970422795128,0.171,0.17300000000000001,0.17190000000000003,0.17200000000000001,0.0006244997998398404,32,32,4096,11008,32016,True,4096,1
0.191,0.198,0.19480952380952382,0.195,0.0014998110236212985,0.17,0.17300000000000001,0.1718,0.17200000000000001,0.0008124038404635967,3.509,3.668,3.60135,3.6029999999999998,0.045124577560349544,0.247,0.251,0.24884999999999996,0.249,0.0009096702699330135,1.201,1.26,1.2429999999999999,1.2429999999999999,0.013856406460551012,0.169,0.17400000000000002,0.1722,0.17200000000000001,0.001029563014098701,6.28,6.585,6.452299999999999,6.448,0.07118504056330933,0.487,0.491,0.48915000000000014,0.489,0.0009096702699330135,3.136,3.285,3.2298500000000003,3.223,0.035184193894418014,0.169,0.17200000000000001,0.1701,0.17,0.0007681145747868615,32,32,4096,11008,32016,True,4064,1
0.191,0.198,0.19442857142857145,0.194,0.0016204475740165304,0.168,0.17200000000000001,0.1697,0.17,0.0009539392014169465,3.5220000000000002,3.77,3.6213499999999996,3.6165000000000003,0.05552411638198305,0.245,0.249,0.24710000000000001,0.247,0.0009433981132056612,1.214,1.2730000000000001,1.24745,1.248,0.013940857218980515,0.167,0.17200000000000001,0.16995,0.17,0.0011169153951844349,6.3420000000000005,6.5600000000000005,6.4658,6.4895,0.06261437534624138,0.484,0.487,0.48525,0.485,0.0007664854858377951,3.1590000000000003,3.3160000000000003,3.2413000000000003,3.2515,0.03638969634388289,0.168,0.17,0.16870000000000002,0.169,0.0006403124237432856,32,32,4096,11008,32016,True,4032,1
0.195,0.2,0.1978095238095238,0.198,0.0013316315670580548,0.17200000000000001,0.17400000000000002,0.17285,0.17300000000000001,0.0007262919523166982,3.6510000000000002,3.799,3.71225,3.7035,0.03663314755791532,0.243,0.248,0.24445,0.244,0.0011169153951844349,1.308,1.328,1.3150999999999997,1.313,0.005691221310052875,0.171,0.17400000000000002,0.17270000000000002,0.17300000000000001,0.0008426149773176366,6.5280000000000005,6.772,6.65205,6.67,0.06421485420056636,0.483,0.484,0.48365,0.484,0.0004769696007084733,3.383,3.461,3.41195,3.407,0.021096148937661624,0.166,0.168,0.16715,0.167,0.0006538348415311016,32,32,4096,11008,32016,True,4000,1
0.195,0.198,0.19671428571428573,0.197,0.0008806305718527116,0.171,0.17300000000000001,0.17215000000000003,0.17200000000000001,0.0006538348415311016,3.52,3.629,3.5716500000000004,3.5815,0.03261943439117242,0.241,0.246,0.24294999999999994,0.243,0.0010712142642814286,1.2610000000000001,1.284,1.2700500000000001,1.2695,0.005370986873936654,0.171,0.17300000000000001,0.17195000000000002,0.17200000000000001,0.0005894913061275804,6.348,6.575,6.4641,6.4515,0.058521705375014485,0.47900000000000004,0.481,0.47994999999999993,0.48,0.0005894913061275624,3.29,3.333,3.3099000000000003,3.31,0.011228980363327755,0.168,0.17200000000000001,0.16960000000000003,0.169,0.0009165151389911689,32,32,4096,11008,32016,True,3968,1
0.191,0.197,0.19461904761904764,0.195,0.0013964645998681138,0.168,0.171,0.16925,0.169,0.0007664854858377951,3.501,3.598,3.5549,3.5625,0.029262433254943113,0.23900000000000002,0.246,0.2412499999999999,0.241,0.001639359631075498,1.252,1.2730000000000001,1.2631999999999999,1.2635,0.005045790324617154,0.168,0.17,0.1693,0.169,0.0006403124237432854,6.327,6.535,6.451600000000001,6.4535,0.05380371734369297,0.47500000000000003,0.47700000000000004,0.4759500000000002,0.47600000000000003,0.0004974937185533104,3.265,3.398,3.3087000000000004,3.302,0.03476219210579219,0.166,0.169,0.1669,0.167,0.0007000000000000006,32,32,4096,11008,32016,True,3936,1
0.188,0.193,0.19076190476190477,0.191,0.0014769583256448414,0.166,0.169,0.16724999999999998,0.167,0.0006982120021884477,3.261,3.3280000000000003,3.2881499999999995,3.2915,0.018572223884069476,0.23900000000000002,0.243,0.24024999999999994,0.24,0.0010428326807307015,1.079,1.102,1.0889,1.089,0.007217340230306463,0.166,0.169,0.16745000000000002,0.167,0.0006689544080129831,5.751,5.877,5.8042,5.801,0.03360892738544327,0.47200000000000003,0.47300000000000003,0.47234999999999994,0.47200000000000003,0.0004769696007084732,2.807,2.863,2.8274,2.835,0.01746539435569656,0.168,0.17200000000000001,0.16930000000000003,0.169,0.0010049875621120899,32,32,4096,11008,32016,True,3904,1
0.185,0.191,0.18876190476190477,0.189,0.0015707069049972053,0.164,0.168,0.16635,0.1665,0.0009630680142129119,3.205,3.3280000000000003,3.2783,3.2775,0.027206800620433114,0.23700000000000002,0.241,0.23900000000000002,0.23900000000000002,0.0010954451150103218,1.059,1.099,1.0850499999999998,1.0885,0.008806105836293364,0.164,0.168,0.16670000000000001,0.167,0.0009539392014169465,5.66,5.873,5.7985,5.811,0.04670706584661471,0.467,0.46900000000000003,0.46819999999999995,0.468,0.0006000000000000005,2.754,2.862,2.8181000000000003,2.821,0.02727618008446202,0.167,0.169,0.16755000000000003,0.167,0.0006689544080129831,32,32,4096,11008,32016,True,3872,1
0.184,0.19,0.18752380952380956,0.188,0.0014349065879351785,0.162,0.165,0.16360000000000002,0.164,0.0007348469228349541,3.202,3.327,3.2737500000000006,3.268,0.027323753402488472,0.231,0.23500000000000001,0.23299999999999996,0.233,0.001140175425099139,1.06,1.103,1.0868499999999999,1.088,0.008850282481367471,0.162,0.165,0.16365000000000002,0.164,0.0007262919523166982,5.455,5.678,5.599000000000001,5.6055,0.04963063570013986,0.463,0.465,0.4646,0.465,0.0005830951894845307,2.757,2.864,2.8173500000000002,2.81,0.025278993255270225,0.163,0.166,0.16494999999999999,0.165,0.00086458082328953,32,32,4096,11008,32016,True,3840,1
