time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.186,0.203,0.197,0.199,0.00576524893114732,0.164,0.176,0.17235,0.17350000000000002,0.0034245437652335544,1.719,1.8880000000000001,1.8314499999999998,1.846,0.050709441921598784,0.151,0.153,0.1524,0.1525,0.0006633249580710807,1.172,1.286,1.24655,1.2610000000000001,0.03627461233424833,0.164,0.176,0.17250000000000004,0.17400000000000002,0.003612478373637689,8.311,8.8,8.60795,8.651,0.15060029050436785,0.627,0.636,0.6337499999999999,0.634,0.0023848480035423662,3.813,4.344,4.1928,4.2255,0.14152688790473697,0.171,0.17300000000000001,0.17195000000000002,0.17200000000000001,0.0006689544080129831,32,8,4096,14336,128256,True,4096,1
0.196,0.20400000000000001,0.20004761904761909,0.2,0.0021038782889880514,0.17200000000000001,0.176,0.1741,0.17400000000000002,0.001135781669160051,1.825,1.895,1.8626500000000004,1.863,0.022213228040966957,0.151,0.154,0.15265,0.153,0.0007262919523166982,1.238,1.288,1.26585,1.2675,0.016894599728907448,0.17200000000000001,0.176,0.17425000000000002,0.17450000000000002,0.001373863166403401,8.467,8.938,8.697399999999998,8.7045,0.10993243379458119,0.633,0.636,0.63475,0.6345000000000001,0.0010428326807307116,4.18,4.345,4.263,4.2575,0.055648899360185036,0.171,0.17300000000000001,0.17185,0.17200000000000001,0.00047696960070847325,32,8,4096,14336,128256,True,4096,1
0.194,0.201,0.19714285714285718,0.197,0.0023560603574958082,0.171,0.176,0.17350000000000004,0.17350000000000002,0.0015329709716755862,1.788,1.8980000000000001,1.8520500000000002,1.8515000000000001,0.029694233446916945,0.151,0.153,0.15129999999999996,0.151,0.0005567764362830027,1.228,1.285,1.2589,1.2600000000000002,0.01934399131513449,0.171,0.176,0.17355000000000004,0.17400000000000002,0.0015644487847161985,8.381,8.813,8.608450000000001,8.622,0.118746989435522,0.627,0.631,0.6294000000000001,0.629,0.001356465996625055,4.14,4.344,4.2408,4.248,0.06507119178253927,0.169,0.171,0.17015,0.17,0.0007262919523166982,32,8,4096,14336,128256,True,4064,1
0.191,0.201,0.1966666666666667,0.197,0.002588129188895467,0.167,0.17300000000000001,0.1708,0.171,0.0016911534525287778,1.784,1.8920000000000001,1.8455999999999997,1.854,0.03007224634110332,0.148,0.151,0.14945,0.1495,0.0007399324293474377,1.212,1.286,1.26155,1.266,0.02154408271428606,0.167,0.17300000000000001,0.17074999999999999,0.1705,0.0017571283390805594,8.28,8.855,8.6402,8.663499999999999,0.1352322446755953,0.621,0.627,0.6246000000000002,0.6245,0.0015620499351813321,4.101,4.344,4.251200000000001,4.2415,0.07029409648042995,0.168,0.171,0.16875,0.169,0.0008291561975888506,32,8,4096,14336,128256,True,4032,1
0.198,0.203,0.20080952380952383,0.201,0.0014013275209106832,0.17200000000000001,0.17500000000000002,0.17414999999999997,0.17400000000000002,0.0009630680142129122,1.874,1.941,1.9050500000000004,1.9105,0.020689308833308065,0.147,0.149,0.14840000000000003,0.148,0.0005830951894845306,1.308,1.334,1.3249000000000002,1.328,0.007313685801290622,0.17200000000000001,0.17500000000000002,0.1737,0.17400000000000002,0.0009000000000000008,8.65,9.052,8.814350000000001,8.832,0.10510721906700786,0.621,0.624,0.6228,0.623,0.0009273618495495713,4.371,4.703,4.475849999999999,4.4670000000000005,0.06223606269679985,0.167,0.169,0.1678,0.168,0.0007483314773547889,32,8,4096,14336,128256,True,4000,1
0.198,0.203,0.20033333333333334,0.2,0.0014584183648679587,0.17300000000000001,0.176,0.1741,0.17400000000000002,0.0009433981132056584,1.792,1.852,1.82665,1.8285,0.015281606590931454,0.149,0.151,0.14965,0.15,0.0005722761571129803,1.272,1.3,1.2866,1.2885,0.007870196947980378,0.17300000000000001,0.176,0.17425,0.17400000000000002,0.0009937303457175856,8.572000000000001,8.781,8.687199999999999,8.6955,0.05927613347714239,0.617,0.621,0.61875,0.619,0.0010428326807307116,4.273,4.593,4.3632,4.351,0.06041158829231357,0.167,0.17,0.1689,0.169,0.0008888194417315596,32,8,4096,14336,128256,True,3968,1
0.196,0.201,0.19857142857142857,0.199,0.0013997084244475315,0.169,0.17200000000000001,0.17075,0.171,0.0008874119674649433,1.782,1.856,1.8194000000000004,1.8185,0.016295398123396695,0.148,0.15,0.14850000000000002,0.148,0.0005916079783099622,1.2690000000000001,1.294,1.2808499999999998,1.278,0.0077218844850204535,0.169,0.17200000000000001,0.1707,0.1705,0.0009000000000000007,8.575000000000001,8.879,8.685750000000002,8.670000000000002,0.0722217938021479,0.612,0.616,0.6133,0.613,0.0009000000000000007,4.2780000000000005,5.212,4.47665,4.375,0.2316998651272805,0.166,0.169,0.16704999999999998,0.167,0.0008046738469715548,32,8,4096,14336,128256,True,3936,1
0.189,0.196,0.19338095238095238,0.193,0.0017313960916855106,0.166,0.171,0.16865000000000002,0.169,0.001061838029079766,1.614,1.691,1.6620500000000002,1.6600000000000001,0.017077690124838275,0.147,0.148,0.14755,0.148,0.0004974937185533104,1.076,1.123,1.1067500000000001,1.1055000000000001,0.01170416592500295,0.166,0.17,0.16870000000000002,0.169,0.0011445523142259606,7.4830000000000005,7.87,7.7214,7.7165,0.08924763302183425,0.604,0.608,0.6061499999999999,0.606,0.0010136567466356656,3.608,3.786,3.7137000000000002,3.713,0.045370805591261006,0.168,0.17,0.16860000000000003,0.169,0.0005830951894845306,32,8,4096,14336,128256,True,3904,1
0.188,0.195,0.19142857142857142,0.191,0.0015605685341118052,0.166,0.17,0.16799999999999998,0.168,0.0010000000000000009,1.629,1.69,1.6601,1.6635,0.017073078222745862,0.146,0.148,0.14654999999999996,0.1465,0.0005894913061275804,1.086,1.125,1.1030000000000002,1.1055000000000001,0.01138419957660616,0.166,0.17,0.16795,0.168,0.001023474474522937,7.501,7.853,7.70725,7.7225,0.090096545438768,0.599,0.602,0.6006,0.6,0.0010677078252031322,3.642,3.787,3.7056000000000004,3.7110000000000003,0.04164180591665064,0.167,0.169,0.16775,0.168,0.0006224949798994372,32,8,4096,14336,128256,True,3872,1
0.187,0.193,0.19004761904761902,0.19,0.0015576597365520135,0.163,0.167,0.16524999999999998,0.165,0.0009420721840708395,1.629,1.692,1.66085,1.6600000000000001,0.01573300670564908,0.14400000000000002,0.145,0.14455,0.145,0.0004974937185532966,1.082,1.122,1.1045000000000003,1.104,0.009478923989567584,0.164,0.167,0.16535000000000002,0.165,0.0007921489758877436,7.228,7.516,7.3660499999999995,7.367000000000001,0.0766057928618979,0.598,0.6,0.5988,0.599,0.0007483314773547889,3.642,3.787,3.71005,3.713,0.03451155603562374,0.164,0.167,0.16520000000000004,0.165,0.0008717797887081355,32,8,4096,14336,128256,True,3840,1
0.185,0.191,0.18857142857142858,0.188,0.001329927623216091,0.162,0.166,0.16495,0.165,0.0009205976319760993,1.613,1.691,1.6618,1.659,0.01686890630716762,0.14200000000000002,0.14400000000000002,0.14325000000000002,0.14300000000000002,0.0005361902647381809,1.078,1.122,1.1049000000000002,1.1035,0.010709341716464196,0.162,0.166,0.1648,0.165,0.0009797958971132722,7.098,7.509,7.36485,7.36,0.0915927262395874,0.59,0.595,0.59365,0.594,0.0013143439428094927,3.61,3.787,3.71675,3.714,0.04248632132816399,0.163,0.165,0.164,0.164,0.0006324555320336764,32,8,4096,14336,128256,True,3808,1
0.182,0.189,0.18614285714285714,0.186,0.001551825784457175,0.159,0.163,0.1614,0.161,0.0008602325267042634,1.599,1.69,1.6506999999999998,1.6505,0.017023806859806645,0.14100000000000001,0.14300000000000002,0.14220000000000002,0.14200000000000002,0.0005099019513592789,1.062,1.123,1.0976000000000004,1.101,0.01149086593777858,0.159,0.164,0.1617,0.162,0.001100000000000001,7.025,7.502,7.309699999999999,7.3235,0.09199570642154985,0.586,0.591,0.5881999999999998,0.588,0.0010770329614269018,3.701,3.92,3.820700000000001,3.8095,0.04398192810689401,0.158,0.16,0.15839999999999999,0.158,0.0005830951894845306,32,8,4096,14336,128256,True,3776,1
0.183,0.188,0.1858095238095238,0.186,0.0013669238185149844,0.16,0.163,0.16204999999999997,0.162,0.0009205976319760992,1.6260000000000001,1.692,1.6703000000000003,1.673,0.017064876208165082,0.14,0.14200000000000002,0.14085,0.14100000000000001,0.0007262919523166982,1.081,1.1260000000000001,1.1117,1.114,0.01206689686704915,0.16,0.164,0.16224999999999998,0.162,0.0009420721840708395,7.175,7.495,7.40035,7.423,0.07151172980707429,0.582,0.586,0.58415,0.584,0.0010136567466356656,3.9330000000000003,4.531,4.2171,4.232,0.18011243710527036,0.157,0.159,0.1577,0.158,0.0007141428428542857,32,8,4096,14336,128256,True,3744,1
0.18,0.184,0.182,0.182,0.001023532631438319,0.159,0.161,0.15995000000000004,0.16,0.0007399324293474378,1.612,1.6580000000000001,1.6339000000000001,1.6300000000000001,0.011193301568348834,0.137,0.139,0.13765,0.138,0.0005722761571129804,1.071,1.103,1.0867,1.089,0.007232565243397411,0.158,0.161,0.1597,0.16,0.0006403124237432854,6.968,7.176,7.062900000000001,7.096500000000001,0.06270478450644736,0.5760000000000001,0.579,0.57735,0.577,0.0007262919523166775,3.696,3.801,3.7400999999999995,3.731,0.026515844319953324,0.158,0.161,0.15924999999999997,0.159,0.0008874119674649432,32,8,4096,14336,128256,True,3712,1
0.18,0.185,0.18195238095238095,0.182,0.0010454523047666747,0.157,0.16,0.15844999999999998,0.1585,0.0008645808232895298,1.6420000000000001,1.69,1.6595000000000002,1.659,0.011015897603009897,0.136,0.138,0.13670000000000002,0.137,0.0006403124237432856,1.107,1.1400000000000001,1.1208,1.118,0.009330594836343506,0.157,0.16,0.1582,0.158,0.0008124038404635968,7.097,7.317,7.17665,7.176,0.055123747151295865,0.5720000000000001,0.5750000000000001,0.5734999999999999,0.5730000000000001,0.0007416198487095669,3.758,3.871,3.80115,3.8,0.028725032637057172,0.152,0.155,0.15325,0.153,0.0008874119674649434,32,8,4096,14336,128256,True,3680,1
0.179,0.183,0.1806666666666667,0.181,0.0010837911120705765,0.157,0.159,0.15775,0.158,0.0006224949798994372,1.653,1.72,1.6845999999999997,1.6835,0.014207040508142454,0.136,0.138,0.13720000000000002,0.137,0.0006000000000000005,1.089,1.123,1.1001,1.1,0.009517877914745492,0.157,0.159,0.1576,0.158,0.0005830951894845307,7.089,7.2620000000000005,7.156850000000001,7.157,0.045536002239985836,0.5680000000000001,0.5700000000000001,0.5681499999999999,0.5680000000000001,0.0004769696007084733,3.677,3.7880000000000003,3.7083999999999997,3.7125000000000004,0.030860006480880747,0.153,0.156,0.1538,0.154,0.000748331477354789,32,8,4096,14336,128256,True,3648,1
0.17500000000000002,0.181,0.17876190476190476,0.179,0.0012307474269828622,0.156,0.159,0.15745,0.157,0.0008046738469715547,1.6500000000000001,1.718,1.6824000000000001,1.6835,0.015054567413247033,0.135,0.136,0.13595000000000004,0.136,0.00021794494717703388,1.079,1.12,1.1011,1.1,0.008671216754296978,0.156,0.159,0.15735,0.157,0.0007262919523166982,7.03,7.307,7.159650000000001,7.1665,0.06998519486291364,0.561,0.5650000000000001,0.5634000000000001,0.5635000000000001,0.0008602325267042634,3.641,3.785,3.708799999999999,3.712,0.033961154279558904,0.152,0.153,0.15225000000000005,0.152,0.0004330127018922197,32,8,4096,14336,128256,True,3616,1
0.176,0.18,0.1775238095238095,0.177,0.001005652956282995,0.154,0.156,0.15464999999999995,0.155,0.0005722761571129803,1.465,1.506,1.4789,1.479,0.009596353474106716,0.135,0.138,0.13630000000000003,0.136,0.0006403124237432854,1.09,1.12,1.1007000000000002,1.1,0.006708949247087819,0.154,0.156,0.15439999999999998,0.154,0.0006633249580710806,6.833,7.13,6.981450000000001,6.984,0.0681919899988261,0.556,0.559,0.5571500000000001,0.557,0.0005722761571129803,3.676,3.785,3.7106000000000003,3.7115,0.025896717938765877,0.15,0.152,0.15084999999999998,0.151,0.0005722761571129803,32,8,4096,14336,128256,True,3584,1
0.17400000000000002,0.179,0.17619047619047618,0.176,0.0011388819755334583,0.153,0.155,0.15385,0.154,0.00047696960070847325,1.463,1.491,1.4748,1.477,0.006946941773183358,0.134,0.136,0.13499999999999998,0.135,0.0005477225575051667,1.088,1.108,1.0967500000000001,1.098,0.00493837017648536,0.153,0.155,0.15389999999999998,0.154,0.00043588989435406776,6.844,7.061,6.9631,6.9785,0.050872291082670905,0.55,0.553,0.5514500000000001,0.5515000000000001,0.0007399324293474377,3.674,3.747,3.703900000000001,3.7110000000000003,0.018118774793015113,0.148,0.151,0.14925,0.149,0.0006982120021884476,32,8,4096,14336,128256,True,3552,1
0.17200000000000001,0.176,0.17423809523809522,0.17400000000000002,0.001019092121858694,0.15,0.153,0.15119999999999997,0.151,0.0007483314773547889,1.46,1.5050000000000001,1.4785499999999998,1.477,0.010384965093826764,0.133,0.134,0.13345,0.133,0.0004974937185533104,1.086,1.12,1.1003500000000002,1.098,0.00837421638125026,0.15,0.153,0.15124999999999994,0.151,0.0007664854858377954,6.9,7.12,6.986500000000001,6.984,0.055468459506281556,0.546,0.549,0.54695,0.547,0.0008046738469715547,3.673,3.7840000000000003,3.7138999999999998,3.71,0.028142316891116136,0.147,0.149,0.14809999999999998,0.148,0.00043588989435406776,32,8,4096,14336,128256,True,3520,1
0.17300000000000001,0.176,0.17342857142857143,0.17300000000000001,0.0007911070345636226,0.15,0.152,0.15109999999999998,0.151,0.00043588989435406776,1.473,1.506,1.4801499999999999,1.476,0.008187032429397102,0.132,0.133,0.1326,0.133,0.0004898979485566361,1.092,1.118,1.1006500000000004,1.0975000000000001,0.005893004327166262,0.15,0.152,0.15099999999999997,0.151,0.0006324555320336764,6.871,7.066,6.990050000000001,6.978,0.047186306276291584,0.541,0.543,0.5416000000000001,0.542,0.0005830951894845307,3.681,3.747,3.7162999999999995,3.71,0.018984467335166375,0.146,0.147,0.14654999999999999,0.147,0.0004974937185533104,32,8,4096,14336,128256,True,3488,1
0.171,0.17400000000000002,0.17252380952380955,0.17200000000000001,0.0008518354199999206,0.15,0.153,0.15104999999999996,0.151,0.0006689544080129832,1.568,1.59,1.5801999999999998,1.58,0.00632139225171164,0.129,0.131,0.12965,0.13,0.0005722761571129804,0.963,0.981,0.9714,0.971,0.005122499389946283,0.15,0.151,0.15074999999999997,0.151,0.0004330127018922197,6.627,6.756,6.6836,6.692500000000001,0.029724400750898248,0.539,0.541,0.5398,0.54,0.0005099019513592789,3.248,3.313,3.2733000000000003,3.281,0.01651393351082654,0.148,0.15,0.14905,0.149,0.0008046738469715547,32,8,4096,14336,128256,True,3456,1
0.17,0.17400000000000002,0.1710952380952381,0.171,0.0011086139739831264,0.147,0.149,0.1482,0.148,0.0006000000000000005,1.561,1.595,1.5782999999999998,1.578,0.007497332859090646,0.128,0.129,0.12845,0.128,0.0004974937185533104,0.964,0.981,0.9719999999999999,0.973,0.005089204259999794,0.147,0.149,0.14835,0.148,0.0005722761571129804,6.605,6.755,6.679200000000002,6.679,0.03633125376311687,0.535,0.536,0.53535,0.535,0.00047696960070847325,3.248,3.313,3.27555,3.281,0.018451219471894004,0.147,0.15,0.14825000000000002,0.148,0.0007664854858377951,32,8,4096,14336,128256,True,3424,1
0.167,0.171,0.1690952380952381,0.169,0.0009712418121129123,0.147,0.149,0.14795000000000003,0.148,0.0006689544080129832,1.56,1.595,1.5787499999999999,1.578,0.008711343180015332,0.127,0.128,0.12725,0.127,0.00043301270189221973,0.962,0.981,0.9732,0.973,0.0047391982444291185,0.147,0.15,0.14830000000000002,0.148,0.0006403124237432853,6.57,6.7490000000000006,6.685849999999999,6.6825,0.04767103418219496,0.529,0.531,0.5301499999999999,0.53,0.00047696960070847325,3.247,3.3120000000000003,3.2805,3.2805,0.019873348988029234,0.146,0.148,0.14659999999999995,0.147,0.0005830951894845306,32,8,4096,14336,128256,True,3392,1
0.165,0.169,0.16776190476190478,0.168,0.0012688488185213559,0.14300000000000002,0.146,0.14495,0.145,0.0006689544080129751,1.553,1.595,1.5776500000000002,1.5785,0.011594287386467535,0.125,0.127,0.12599999999999997,0.126,0.00044721359549995833,0.9530000000000001,0.98,0.9707999999999999,0.9715,0.007619711280619477,0.14300000000000002,0.146,0.14495,0.145,0.0007399324293474287,6.5,6.745,6.678500000000001,6.6775,0.06292257146684327,0.524,0.527,0.52525,0.525,0.0006224949798994372,3.216,3.3120000000000003,3.2782999999999993,3.2800000000000002,0.025888414397177775,0.14400000000000002,0.147,0.1454,0.145,0.0007999999999999958,32,8,4096,14336,128256,True,3360,1
0.164,0.167,0.16557142857142854,0.166,0.0007911070345636268,0.14400000000000002,0.145,0.14435000000000003,0.14400000000000002,0.00047696960070846,1.489,1.52,1.5026000000000002,1.504,0.008230431337420878,0.125,0.127,0.12605,0.126,0.0004974937185533105,0.96,0.978,0.9662000000000001,0.969,0.00458911756223351,0.14400000000000002,0.145,0.14420000000000002,0.14400000000000002,0.00039999999999998923,6.393,6.566,6.4792000000000005,6.5040000000000004,0.04903121454746975,0.519,0.521,0.5198499999999999,0.52,0.0005722761571129803,3.246,3.311,3.26455,3.2645,0.0184457989797135,0.14300000000000002,0.145,0.1436,0.14400000000000002,0.0005830951894845273,32,8,4096,14336,128256,True,3328,1
0.163,0.167,0.16452380952380952,0.164,0.001005652956282995,0.14400000000000002,0.146,0.14430000000000004,0.14400000000000002,0.0005567764362829915,1.5070000000000001,1.553,1.5182000000000002,1.5210000000000001,0.011582745788456188,0.122,0.123,0.12204999999999996,0.122,0.00021794494717703388,0.9590000000000001,0.989,0.9678500000000001,0.9684999999999999,0.00777994215916801,0.14300000000000002,0.146,0.14415000000000006,0.14400000000000002,0.0006538348415310923,6.423,6.63,6.483200000000001,6.4575000000000005,0.05973072910989786,0.513,0.516,0.5146499999999999,0.515,0.0007921489758877436,3.244,3.345,3.2682,3.2615,0.026603759132874483,0.14100000000000001,0.14300000000000002,0.14204999999999998,0.14200000000000002,0.0004974937185533105,32,8,4096,14336,128256,True,3296,1
0.16,0.165,0.16304761904761902,0.163,0.0015576597365520133,0.139,0.14200000000000002,0.14105000000000004,0.14100000000000001,0.0008046738469715548,1.364,1.403,1.3877000000000002,1.3895,0.011180787092150533,0.123,0.124,0.12325,0.123,0.0004330127018922198,0.9540000000000001,0.982,0.9711500000000001,0.9724999999999999,0.008392109389182183,0.14,0.14200000000000002,0.14120000000000002,0.14100000000000001,0.0006000000000000005,6.359,6.562,6.49375,6.496,0.0563825105861739,0.509,0.511,0.5097,0.51,0.0006403124237432854,3.216,3.313,3.276,3.2805,0.025349556209133123,0.138,0.14,0.13920000000000005,0.139,0.0005099019513592789,32,8,4096,14336,128256,True,3264,1
0.159,0.163,0.16071428571428573,0.161,0.0008247860988423232,0.139,0.14200000000000002,0.14035000000000003,0.14,0.0006538348415311016,1.365,1.401,1.37785,1.3760000000000001,0.007643788327786169,0.121,0.123,0.12204999999999999,0.122,0.0004974937185533104,0.9540000000000001,0.98,0.9639499999999999,0.9624999999999999,0.005162121656838391,0.14,0.14100000000000001,0.14015000000000005,0.14,0.0003570714214271428,6.338,6.497,6.4293000000000005,6.428,0.03401190967881697,0.503,0.505,0.5041,0.504,0.00043588989435406776,3.216,3.279,3.2479,3.248,0.013999642852587302,0.137,0.139,0.13790000000000002,0.138,0.0005385164807134509,32,8,4096,14336,128256,True,3232,1
0.158,0.161,0.15928571428571425,0.159,0.0007648751621051916,0.139,0.14100000000000001,0.14000000000000004,0.14,0.00044721359549995833,1.373,1.387,1.37975,1.379,0.005038600996308405,0.12,0.121,0.1207,0.121,0.0004582575694955844,0.961,0.971,0.9658,0.966,0.004044749683231341,0.139,0.14100000000000001,0.13990000000000002,0.14,0.00043588989435406776,6.231,6.321,6.2810500000000005,6.29,0.033574506697790746,0.497,0.499,0.49804999999999994,0.498,0.00038405728739343076,3.246,3.279,3.2567,3.248,0.014293704908105484,0.136,0.138,0.13660000000000003,0.1365,0.0006633249580710806,32,8,4096,14336,128256,True,3200,1
