time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09953975677490234,0.09953975677490234,0.09953975677490234,0.09953975677490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,1,64,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10077953338623047,0.10077953338623047,0.10077953338623047,0.10077953338623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,1,128,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982522964477539,0.0982522964477539,0.0982522964477539,0.0982522964477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,1,256,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2120494842529297,0.2120494842529297,0.2120494842529297,0.2120494842529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,1,512,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7812261581420898,0.7812261581420898,0.7812261581420898,0.7812261581420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,1,1024,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8247833251953125,2.8247833251953125,2.8247833251953125,2.8247833251953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,1,2048,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09775161743164062,0.09775161743164062,0.09775161743164062,0.09775161743164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,2,64,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09739398956298828,0.09739398956298828,0.09739398956298828,0.09739398956298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,2,128,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13036727905273438,0.13036727905273438,0.13036727905273438,0.13036727905273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,2,256,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087686538696289,0.4087686538696289,0.4087686538696289,0.4087686538696289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,2,512,0,True,AttentionBackend.PYTORCH_NATIVE
