time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.14400000000000002,0.147,0.14500000000000002,0.145,0.0008728715609439597,0.081,0.082,0.08140000000000001,0.081,0.0004898979485566361,0.603,0.62,0.6054999999999999,0.605,0.0035846896657869875,0.07,0.07200000000000001,0.07050000000000001,0.07,0.0005916079783099621,0.501,0.511,0.50485,0.505,0.002455096739438186,0.081,0.082,0.08135,0.081,0.00047696960070847314,3.1590000000000003,3.19,3.1725000000000003,3.1745,0.00872066511224917,0.323,0.331,0.32655,0.326,0.0018020821290940115,1.605,1.6360000000000001,1.6159499999999998,1.619,0.0076188909954139706,0.062,0.063,0.06265,0.063,0.00047696960070847314,32,8,2048,8192,128256,True,4096,1
0.14200000000000002,0.148,0.14500000000000002,0.145,0.001195228609334386,0.08,0.082,0.08135,0.081,0.0005722761571129803,0.598,0.609,0.60635,0.607,0.0021971572542719853,0.07,0.07200000000000001,0.07065000000000002,0.07100000000000001,0.0005722761571129803,0.498,0.509,0.50545,0.506,0.002246664193866099,0.081,0.083,0.08170000000000002,0.082,0.0005567764362830026,3.17,3.193,3.181,3.1805000000000003,0.0063560994328283014,0.323,0.329,0.32615,0.326,0.001525614630239237,1.587,1.625,1.6189,1.6205,0.007738862965578363,0.062,0.064,0.06255,0.0625,0.0005894913061275802,32,8,2048,8192,128256,True,4096,1
0.14100000000000001,0.145,0.1426666666666667,0.14300000000000002,0.0010389249632986345,0.079,0.081,0.07975000000000002,0.08,0.0006224949798994372,0.592,0.605,0.59695,0.5954999999999999,0.003980891859872613,0.069,0.07,0.06970000000000001,0.07,0.0004582575694955844,0.494,0.503,0.4974,0.496,0.002817800560721077,0.079,0.081,0.08005000000000001,0.08,0.0005894913061275804,3.107,3.16,3.1284,3.121,0.016150541786577967,0.316,0.325,0.32189999999999996,0.322,0.0019723082923316037,1.583,1.608,1.5934499999999998,1.5905,0.00751980717837898,0.061,0.064,0.06235,0.062,0.0006538348415311016,32,8,2048,8192,128256,True,4064,1
0.14100000000000001,0.145,0.1423333333333333,0.14200000000000002,0.0011683661091795472,0.078,0.08,0.07925000000000001,0.079,0.0007664854858377951,0.587,0.606,0.5996499999999998,0.603,0.006680381725620183,0.069,0.07,0.06920000000000001,0.069,0.00040000000000000034,0.489,0.502,0.49745,0.5,0.004387197283004268,0.078,0.081,0.07975000000000002,0.08,0.0006982120021884477,3.08,3.164,3.13545,3.154,0.03227456428830605,0.315,0.323,0.31905,0.319,0.002036541185441632,1.569,1.615,1.6008,1.609,0.01659096139468719,0.061,0.063,0.0616,0.062,0.0005830951894845307,32,8,2048,8192,128256,True,4032,1
0.138,0.14300000000000002,0.14114285714285715,0.14100000000000001,0.0011664236870396096,0.077,0.08,0.0788,0.079,0.000748331477354789,0.591,0.603,0.5995999999999999,0.602,0.0039038442591886303,0.068,0.069,0.0685,0.0685,0.0005000000000000004,0.488,0.5,0.49565000000000003,0.4965,0.003320767983464069,0.078,0.08,0.07935,0.0795,0.000726291952316698,3.092,3.16,3.1390000000000002,3.1485000000000003,0.020695410119154475,0.313,0.321,0.31715,0.3175,0.0019045996954740927,1.582,1.611,1.6005500000000001,1.6045,0.009041432408639681,0.06,0.062,0.06074999999999999,0.061,0.0005361902647381809,32,8,2048,8192,128256,True,4000,1
0.138,0.14300000000000002,0.14076190476190478,0.14100000000000001,0.0014443572274383918,0.077,0.08,0.0784,0.079,0.0009165151389911689,0.601,0.626,0.6157,0.6185,0.007900000000000008,0.067,0.069,0.06765000000000002,0.068,0.0005722761571129803,0.497,0.517,0.5086999999999999,0.512,0.006229767250869013,0.077,0.081,0.07915000000000001,0.079,0.0010136567466356653,2.98,3.091,3.0444500000000003,3.0605,0.03986787553908533,0.311,0.318,0.31494999999999995,0.315,0.0020609463845524967,1.51,1.639,1.60395,1.625,0.03955562539007571,0.059000000000000004,0.061,0.059800000000000006,0.06,0.0005099019513592763,32,8,2048,8192,128256,True,3968,1
0.137,0.14200000000000002,0.13933333333333334,0.139,0.0012084359562332886,0.077,0.079,0.07800000000000001,0.078,0.00044721359549995833,0.61,0.62,0.6154999999999999,0.6154999999999999,0.0024186773244895673,0.066,0.068,0.0671,0.067,0.00043588989435406776,0.502,0.511,0.5063500000000001,0.507,0.0022643983748448526,0.078,0.079,0.07830000000000001,0.078,0.0004582575694955844,3.023,3.059,3.04835,3.053,0.011199441950383074,0.31,0.315,0.31229999999999997,0.3125,0.0015198684153570677,1.603,1.622,1.61585,1.6175000000000002,0.005359804100897735,0.059000000000000004,0.06,0.05944999999999999,0.059000000000000004,0.0004974937185533069,32,8,2048,8192,128256,True,3936,1
0.136,0.14200000000000002,0.1382857142857143,0.138,0.0013144927373183119,0.076,0.078,0.07705,0.077,0.0005894913061275804,0.591,0.603,0.5988499999999999,0.6,0.003940494892776798,0.066,0.068,0.06705,0.067,0.0004974937185533105,0.49,0.501,0.4971,0.498,0.00301496268633627,0.076,0.078,0.07765000000000002,0.078,0.0005722761571129803,2.98,3.0460000000000003,3.0218,3.032,0.022350838910430253,0.307,0.313,0.31010000000000004,0.31,0.0018681541692269418,1.502,1.606,1.5926500000000001,1.601,0.022219979747965572,0.058,0.06,0.05915,0.059000000000000004,0.0004769696007084708,32,8,2048,8192,128256,True,3904,1
0.135,0.139,0.13633333333333336,0.136,0.0010837911120705763,0.076,0.077,0.07644999999999999,0.076,0.0004974937185533104,0.595,0.601,0.5974,0.597,0.001392838827718413,0.066,0.068,0.06640000000000001,0.066,0.0005830951894845307,0.492,0.499,0.49490000000000006,0.495,0.0017000000000000016,0.076,0.078,0.07685,0.077,0.0005722761571129803,3.0060000000000002,3.037,3.0176500000000006,3.0175,0.007065939427988324,0.305,0.315,0.30785,0.3075,0.002242208732477868,1.591,1.603,1.5961500000000002,1.596,0.0027798381247835353,0.058,0.06,0.05889999999999999,0.059000000000000004,0.0004358898943540669,32,8,2048,8192,128256,True,3872,1
0.136,0.14,0.1374761904761905,0.137,0.0010962728031639378,0.076,0.078,0.07669999999999999,0.077,0.0005567764362830027,0.612,0.624,0.61835,0.618,0.003453621287865828,0.065,0.067,0.06625,0.066,0.0006224949798994372,0.384,0.391,0.38695,0.387,0.001909842925478429,0.076,0.078,0.07735,0.077,0.0006538348415311016,2.942,3.001,2.9766000000000004,2.9770000000000003,0.017275416058665522,0.302,0.309,0.30555000000000004,0.3055,0.0019098429254784295,1.4020000000000001,1.425,1.4129999999999998,1.4144999999999999,0.00817312669668097,0.06,0.061,0.06015,0.06,0.00035707142142714284,32,8,2048,8192,128256,True,3840,1
